Breakdown by Connector,Vsessionid,Party Consolidated Connector,Race Connector,Race x Education Connector,Voters Gender,Econ Score,Q Age,Social Score,Weights Lv
Strong Conservatives,1749844911_684c83afa94a50.44988284,Democrat,White College,White College,M,89.130434783,82,93.617021277,0.686158330
Strong Conservatives,1749838790_684c6bc6686bf6.77517861,Republican,White College,White College,M,76.630434783,45,75,0.738251653
Strong Conservatives,1749824769_684c3501bee2c2.60344353,Republican,White Non-College,White Non-College,F,84.239130435,65,82.446808511,0.237474970
Strong Conservatives,1749788577_684ba7a1f18fd3.35702990,Republican,White College,White College,M,77.173913043,64,96.276595745,1.846608495
Social Liberal + Econ Conservative,1750143862_685113769b6384.48838941,Republican,White College,White College,M,75,52,40.957446809,2.193596470
Social Liberal + Econ Conservative,1750129157_6850da05920275.99865962,Republican,Native and Other,Non-White College,F,55.978260870,29,46.808510638,2.049924742
Social Liberal + Econ Conservative,1750100768_68506b2045acc6.43074313,Democrat,White Non-College,White Non-College,M,65.760869565,58,48.404255319,0.883354770
Social Liberal + Econ Conservative,1750088568_68503b781755e2.18663530,Republican,Hispanic,Non-White College,F,52.717391304,30,47.340425532,0.739166788
Social Liberal + Econ Conservative,1750056140_684fbcccc72762.86531501,Independent,Black,Non-White Non-College,M,56.521739130,56,42.553191489,0.229946310
Social Liberal + Econ Conservative,1750040536_684f7fd88033e9.40465668,Republican,White College,White College,M,60.869565217,35,49,1.345379357
Social Liberal + Econ Conservative,1750022363_684f38db3d2584.25469637,Republican,White Non-College,White Non-College,F,64.130434783,77,46.808510638,0.935264797
Social Liberal + Econ Conservative,1750021394_684f35122bc533.24822073,Democrat,White Non-College,White Non-College,M,54.891304348,67,42.553191489,0.254620687
Social Liberal + Econ Conservative,1750018613_684f2a35225785.43870275,Independent,White Non-College,White Non-College,F,69.021739130,73,48.936170213,0.692093936
Social Liberal + Econ Conservative,1750017138_684f2472654f56.79173638,Democrat,Black,Non-White College,F,51.086956522,40,46.808510638,0.733293938
Social Liberal + Econ Conservative,1750015776_684f1f202edd04.52344453,Democrat,Hispanic,Non-White Non-College,M,54.347826087,53,11.170212766,0.268697743
Social Liberal + Econ Conservative,1750014773_684f1b3582fa98.51962994,Democrat,White Non-College,White Non-College,F,65.217391304,72,32.446808511,0.506607990
Social Liberal + Econ Conservative,1750014304_684f19601d0072.08381499,Republican,White Non-College,White Non-College,F,68.478260870,68,48.404255319,1.090456795
Social Liberal + Econ Conservative,1750013974_684f181626d3b8.41507938,Republican,White Non-College,White Non-College,F,51.086956522,51,47.340425532,0.415442735
Social Liberal + Econ Conservative,1750013432_684f15f8bf3311.69867442,Republican,White Non-College,White Non-College,F,51.543478261,66,48.936170213,0.281089172
Social Liberal + Econ Conservative,1750012277_684f11759ac220.28792296,Democrat,Hispanic,Non-White Non-College,F,54.891304348,58,14.893617021,1.641447155
Social Liberal + Econ Conservative,1750010678_684f0b361f7479.47004422,Republican,Black,Non-White Non-College,M,52.717391304,56,29.787234043,0.385287970
Social Liberal + Econ Conservative,1750010331_684f09db833214.19580498,Republican,White Non-College,White Non-College,F,55.434782609,75,49.531914894,0.667161259
Social Liberal + Econ Conservative,1750010040_684f08b8952ac6.55065016,Democrat,Hispanic,Non-White Non-College,F,59.239130435,34,37.234042553,2.069286699
Social Liberal + Econ Conservative,1750006230_684ef9d6177548.37032405,Independent,Hispanic,Non-White Non-College,F,58.695652174,41,43.617021277,1.267726021
Social Liberal + Econ Conservative,1750005297_684ef6314487d7.91742323,Republican,Hispanic,Non-White Non-College,M,62.5,31,22.872340426,0.737678170
Social Liberal + Econ Conservative,1750004815_684ef44fa152b6.94944611,Independent,White Non-College,White Non-College,F,51.630434783,65,48.404255319,0.541119892
Social Liberal + Econ Conservative,1750004601_684ef3799e9f81.91635609,Democrat,White Non-College,White Non-College,F,54.891304348,46,43.617021277,1.953149956
Social Liberal + Econ Conservative,1750002398_684eeade23dfa9.57960268,Democrat,Hispanic,Non-White Non-College,F,53.804347826,72,43.617021277,0.689126506
Social Liberal + Econ Conservative,1750001769_684ee869757372.21998500,Republican,White Non-College,White Non-College,F,64.130434783,52,39.361702128,1.556331618
Social Liberal + Econ Conservative,1750001571_684ee7a35fe1d4.90946647,Republican,White College,White College,F,51.543478261,35,11.702127660,0.602596866
Social Liberal + Econ Conservative,1749998568_684edbe871a337.19370260,Republican,White Non-College,White Non-College,M,55.978260870,52,19.148936170,0.838844378
Social Liberal + Econ Conservative,1749990222_684ebb4edcd0d7.83543291,Republican,White College,White College,F,61.956521739,69,49.531914894,0.605914779
Social Liberal + Econ Conservative,1749988740_684eb584860fa1.42894812,Republican,White Non-College,White Non-College,M,55.434782609,69,38.297872340,1.130860654
Social Liberal + Econ Conservative,1749985275_684ea7fb002066.02661580,Democrat,White College,White College,M,58.695652174,32,22.872340426,0.967308834
Social Liberal + Econ Conservative,1749918212_684da204df07a9.42168745,Democrat,White College,White College,F,53.804347826,59,9.574468085,0.501067720
Social Liberal + Econ Conservative,1749916974_684d9d2e55d1d2.36721008,Republican,Native and Other,Non-White College,F,51.630434783,52,42.021276596,1.830433148
Social Liberal + Econ Conservative,1749916806_684d9c86b7fb25.84565909,Democrat,Black,Non-White Non-College,F,55.978260870,38,49,0.995995986
Social Liberal + Econ Conservative,1749911668_684d8874b783a8.77387583,Democrat,White College,White College,F,52.717391304,71,31.382978723,1.306172955
Social Liberal + Econ Conservative,1749911099_684d863b1099c0.54450941,Republican,White Non-College,White Non-College,F,60.326086957,76,43.085106383,1.012162367
Social Liberal + Econ Conservative,1749908740_684d7d04b36380.25567933,Independent,White College,White College,F,59.782608696,72,13.297872340,1.083975174
Social Liberal + Econ Conservative,1749908237_684d7b0ddfc8f5.41552575,Republican,White Non-College,White Non-College,F,56.521739130,80,45.212765957,1.043362303
Social Liberal + Econ Conservative,1749907095_684d7697381878.69432832,Democrat,Black,Non-White Non-College,M,60.326086957,26,42.553191489,0.241000599
Social Liberal + Econ Conservative,1749904865_684d6de11fba92.64025284,Republican,White College,White College,M,52.173913043,82,42.553191489,0.595834438
Social Liberal + Econ Conservative,1749904712_684d6d486b3130.92074361,Democrat,Black,Non-White College,M,57.065217391,47,47.872340426,0.558023706
Social Liberal + Econ Conservative,1749902522_684d64ba298ba9.70595408,Independent,White College,White College,F,59.239130435,81,37.765957447,0.686934306
Social Liberal + Econ Conservative,1749885579_684d228b3d3fb4.65475972,Independent,Black,Non-White Non-College,M,58.695652174,30,38.297872340,0.359373253
Social Liberal + Econ Conservative,1749879443_684d0a93c20817.54282511,Democrat,Hispanic,Non-White Non-College,M,62.5,24,45.744680851,0.416629819
Social Liberal + Econ Conservative,1749879347_684d0a33abca66.12909374,Democrat,Black,Non-White Non-College,F,55.434782609,30,29.787234043,0.607349549
Social Liberal + Econ Conservative,1749874546_684cf772c710d3.38191696,Republican,Hispanic,Non-White Non-College,M,60.869565217,34,26.063829787,0.616600712
Social Liberal + Econ Conservative,1749874518_684cf7562dfb46.84271451,Republican,Hispanic,Non-White College,M,57.608695652,60,27.127659574,0.848203411
Social Liberal + Econ Conservative,1749874499_684cf7438c97f0.14696964,Democrat,White Non-College,White Non-College,F,52.173913043,66,42.021276596,0.210080605
Social Liberal + Econ Conservative,1749870575_684ce7ef7f4203.13127835,Republican,White College,White College,F,92.391304348,78,49.468085106,0.528856300
Social Liberal + Econ Conservative,1749866141_684cd69d875028.70887883,Democrat,Hispanic,Non-White Non-College,M,59.782608696,53,48.936170213,0.703698178
Social Liberal + Econ Conservative,1749865312_684cd3609e5c30.02274246,Democrat,Black,Non-White Non-College,M,64.673913043,29,34.574468085,0.367315266
Social Liberal + Econ Conservative,1749864768_684cd140ac9471.78303855,Republican,White Non-College,White Non-College,F,56.521739130,32,32.978723404,0.706752102
Social Liberal + Econ Conservative,1749840230_684c7166e81ff8.09172037,Democrat,White College,White College,F,65.760869565,30,47.340425532,0.334211575
Social Liberal + Econ Conservative,1749821677_684c28ed6f0a64.12266458,Republican,White College,White College,F,51.086956522,40,44.680851064,0.966978489
Social Conservative + Econ Liberal,1750163461_685160053d9812.89448334,Republican,White Non-College,White Non-College,,40.217391304,68,91.489361702,0.759473644
Social Conservative + Econ Liberal,1750159891_685152130676f0.52961388,Democrat,Black,Non-White College,F,32.608695652,45,80.319148936,1.532842599
Social Conservative + Econ Liberal,1750151988_685133347b5ce4.77966379,Republican,White College,White College,M,42.391304348,52,60.106382979,2.829283060
Social Conservative + Econ Liberal,1750151107_68512fc3c26a27.99558034,Republican,White College,White College,M,43.478260870,47,53.191489362,2.742158671
Social Conservative + Econ Liberal,1750140196_685105248d8684.00371422,Democrat,White College,White College,M,31.521739130,45,55.319148936,1.902066651
Social Conservative + Econ Liberal,1750132930_6850e8c2c8ca35.70612716,Republican,White College,White College,M,44.565217391,60,69.148936170,1.588065990
Social Conservative + Econ Liberal,1750124885_6850c955cd3a20.33139480,Democrat,White College,White College,M,39.130434783,57,51.595744681,0.667904829
Social Conservative + Econ Liberal,1750104206_6850788e226fe2.14376494,Republican,White College,White College,M,36.956521739,34,72.340425532,0.740744484
Social Conservative + Econ Liberal,1750103901_6850775d27bf15.23799020,Republican,White Non-College,White Non-College,M,30.978260870,36,69.680851064,0.821781747
Social Conservative + Econ Liberal,1750102485_685071d51ebc32.51488472,Democrat,White Non-College,White Non-College,M,23.913043478,38,59.574468085,2.250642738
Social Conservative + Econ Liberal,1750102246_685070e66690f5.19227578,Democrat,White Non-College,White Non-College,M,35.326086957,52,58.510638298,0.883354770
Social Conservative + Econ Liberal,1750101812_68506f34db4710.56285950,Republican,White Non-College,White Non-College,M,47.826086957,43,78.723404255,1.561168616
Social Conservative + Econ Liberal,1750095733_6850577504f5a2.51329026,Democrat,White Non-College,White Non-College,M,30.434782609,60,53.723404255,1.260724392
Social Conservative + Econ Liberal,1750093027_68504ce30ead75.99486229,Democrat,White Non-College,White Non-College,M,45.108695652,76,52.659574468,0.908638159
Social Conservative + Econ Liberal,1750092311_68504a171b04b5.28630954,Democrat,White Non-College,White Non-College,M,48.369565217,50,56.382978723,0.296547036
Social Conservative + Econ Liberal,1750089800_685040489fe6a4.35240881,Independent,White Non-College,White Non-College,M,33.152173913,73,51.595744681,0.718919349
Social Conservative + Econ Liberal,1750089508_68503f24af6481.25822155,Republican,Native and Other,Non-White College,M,38.043478261,30,51,0.860409736
Social Conservative + Econ Liberal,1750086174_6850321ebd22f2.15720489,Democrat,Black,Non-White College,F,38.586956522,27,60.638297872,0.495012919
Social Conservative + Econ Liberal,1750075858_685009d2188405.67900170,Democrat,White College,White College,M,47.282608696,59,51.595744681,1.426744564
Social Conservative + Econ Liberal,1750072760_684ffdb8377513.95915247,Democrat,Black,Non-White Non-College,M,40.760869565,53,64.361702128,0.630694350
Social Conservative + Econ Liberal,1750060424_684fcd88ad11f4.30911123,Democrat,Hispanic,Non-White College,M,17.934782609,53,58.510638298,0.498744172
Social Conservative + Econ Liberal,1750055886_684fbbce45bc04.75533105,Republican,White College,White College,F,46.195652174,42,55.851063830,1.673740235
Social Conservative + Econ Liberal,1750049562_684fa31a0300d9.88941839,Republican,Hispanic,Non-White College,M,49.543478261,55,62.234042553,1.386700322
Social Conservative + Econ Liberal,1750032541_684f609d4b1130.29461948,Republican,Hispanic,Non-White Non-College,F,39.673913043,38,74.468085106,1.367856610
Social Conservative + Econ Liberal,1750031106_684f5b02125870.13313783,Democrat,White Non-College,White Non-College,F,16.304347826,39,51.531914894,1.040516207
Social Conservative + Econ Liberal,1750030771_684f59b3b7c571.17626207,Republican,Hispanic,Non-White College,F,19.565217391,28,70.212765957,0.614404212
Social Conservative + Econ Liberal,1750024879_684f42afbf1df3.40122456,Democrat,Black,Non-White Non-College,F,28.260869565,52,70.744680851,1.011404219
Social Conservative + Econ Liberal,1750022782_684f3a7e76a367.46450828,Republican,White Non-College,White Non-College,M,44.565217391,37,70.744680851,0.837296875
Social Conservative + Econ Liberal,1750022002_684f37722bc2a0.94908383,Republican,White Non-College,White Non-College,F,38.043478261,69,65.425531915,0.594883123
Social Conservative + Econ Liberal,1750020203_684f306b669b72.91834602,Republican,White Non-College,White Non-College,M,49.456521739,64,71.276595745,1.865837543
Social Conservative + Econ Liberal,1750019871_684f2f1f1f5c93.84776278,Independent,White Non-College,White Non-College,M,21.195652174,56,68.085106383,0.541449825
Social Conservative + Econ Liberal,1750018860_684f2b2c61fc18.38168157,Republican,Asian,Non-White Non-College,,35.869565217,34,70.212765957,3.124017566
Social Conservative + Econ Liberal,1750018736_684f2ab04aa1b5.46566409,Independent,White College,White College,M,40.760869565,64,62.234042553,1.827361480
Social Conservative + Econ Liberal,1750018698_684f2a8a67f540.46834025,Democrat,White Non-College,White Non-College,M,26.630434783,74,66.489361702,0.687251657
Social Conservative + Econ Liberal,1750017663_684f267f15d785.44395739,Republican,White Non-College,White Non-College,M,43.478260870,47,54.255319149,4.934613653
Social Conservative + Econ Liberal,1750016720_684f22d0cf8d48.25728421,Democrat,Black,Non-White Non-College,F,46.739130435,60,52.659574468,0.967235890
Social Conservative + Econ Liberal,1750015869_684f1f7d8d6011.42395685,Republican,White Non-College,White Non-College,F,28.804347826,73,76.595744681,0.337467446
Social Conservative + Econ Liberal,1750015285_684f1d35cf54d2.39762199,Democrat,White Non-College,White Non-College,M,33.695652174,65,63.829787234,0.445803168
Social Conservative + Econ Liberal,1750014087_684f1887a04383.01319780,Democrat,Hispanic,Non-White Non-College,F,40.217391304,56,64.361702128,0.320779639
Social Conservative + Econ Liberal,1750014058_684f186a4baae2.45414240,Democrat,Black,Non-White Non-College,F,35.869565217,43,51.595744681,1.477786547
Social Conservative + Econ Liberal,1750013983_684f181fadc1b2.80550984,Democrat,Black,Non-White College,F,26.086956522,63,62.234042553,1.281809051
Social Conservative + Econ Liberal,1750013322_684f158ac8ce74.13940173,Republican,White Non-College,White Non-College,F,12.5,70,70.744680851,0.584121413
Social Conservative + Econ Liberal,1750012610_684f12c2271865.84848338,Democrat,Black,Non-White Non-College,F,36.956521739,76,68.617021277,0.707947072
Social Conservative + Econ Liberal,1750012513_684f1261521e76.03371095,Independent,Black,Non-White Non-College,F,33.152173913,49,53.191489362,1.950004827
Social Conservative + Econ Liberal,1750012491_684f124b029cf5.95562406,Republican,White Non-College,White Non-College,M,34.782608696,58,51.063829787,0.861467562
Social Conservative + Econ Liberal,1750012458_684f122a15ebc4.45010244,Democrat,Black,Non-White Non-College,F,37.5,71,51.063829787,1.236049412
Social Conservative + Econ Liberal,1750012358_684f11c6c6dd06.45552143,Republican,White Non-College,White Non-College,F,35.869565217,71,86.702127660,1.213831875
Social Conservative + Econ Liberal,1750012319_684f119fa825b0.32533923,Democrat,White Non-College,White Non-College,M,12.5,58,63.829787234,0.658885881
Social Conservative + Econ Liberal,1750011980_684f104cb7fdd8.86822618,Republican,White Non-College,White Non-College,F,46.739130435,55,70.744680851,1.021130585
Social Conservative + Econ Liberal,1750011918_684f100e3aa185.99059025,Republican,Hispanic,Non-White Non-College,F,6.521739130,45,62.234042553,1.090942716
Social Conservative + Econ Liberal,1750011714_684f0f42f0ccb5.04065536,Republican,White Non-College,White Non-College,F,27.173913043,59,69.148936170,0.292345980
Social Conservative + Econ Liberal,1750011416_684f0e1879ae41.13608646,Democrat,Hispanic,Non-White Non-College,M,25.543478261,38,74.468085106,0.738744512
Social Conservative + Econ Liberal,1750011386_684f0dfa7a8a18.07393230,Democrat,White College,White College,F,15.217391304,88,62.234042553,1.351610630
Social Conservative + Econ Liberal,1750011198_684f0d3e983860.03428700,Democrat,White Non-College,White Non-College,F,8.695652174,63,67.021276596,2.214687884
Social Conservative + Econ Liberal,1750010915_684f0c2334a591.52926614,Republican,Hispanic,Non-White Non-College,F,39.130434783,55,62.234042553,0.562035623
Social Conservative + Econ Liberal,1750010849_684f0be10b2fb8.98735760,Republican,White Non-College,White Non-College,F,23.369565217,62,64.361702128,0.407744573
Social Conservative + Econ Liberal,1750010801_684f0bb1adfec8.49076754,Republican,White Non-College,White Non-College,F,36.956521739,61,59.574468085,0.537664859
Social Conservative + Econ Liberal,1750010688_684f0b40d67672.22187700,Republican,White Non-College,White Non-College,F,42.391304348,53,56.914893617,2.426970914
Social Conservative + Econ Liberal,1750010684_684f0b3c4cac29.32872826,Democrat,White College,White College,F,35.326086957,72,51.063829787,1.284444564
Social Conservative + Econ Liberal,1750010678_684f0b3615cf13.54536268,Republican,White Non-College,White Non-College,M,41.304347826,62,72.872340426,0.865446884
Social Conservative + Econ Liberal,1750010589_684f0add38bf38.29469991,Republican,White Non-College,White Non-College,M,39.130434783,55,81.382978723,0.539229163
Social Conservative + Econ Liberal,1750010455_684f0a57c76705.57937220,Independent,White Non-College,White Non-College,M,39.130434783,76,60.638297872,0.766822667
Social Conservative + Econ Liberal,1750010314_684f09caa7c928.80784007,Democrat,Black,Non-White Non-College,F,17.391304348,75,63.829787234,0.808090128
Social Conservative + Econ Liberal,1750010100_684f08f45db112.97314193,Republican,White Non-College,White Non-College,F,38.043478261,70,52.659574468,0.357816594
Social Conservative + Econ Liberal,1750010090_684f08ea8b8aa8.34246272,Republican,White Non-College,White Non-College,F,48.913043478,68,75.531914894,1.215172557
Social Conservative + Econ Liberal,1750010084_684f08e4c00fd0.93205598,Republican,White Non-College,White Non-College,F,30.978260870,53,52.127659574,0.678193805
Social Conservative + Econ Liberal,1750009846_684f07f64c0aa5.21962792,Republican,White Non-College,White Non-College,M,40.217391304,61,77.659574468,1.140880593
Social Conservative + Econ Liberal,1750009815_684f07d7164c61.56219842,Republican,White Non-College,White Non-College,F,30.978260870,61,57.446808511,0.437401489
Social Conservative + Econ Liberal,1750009355_684f060bafe278.77549327,Republican,White Non-College,White Non-College,F,47.282608696,33,78.191489362,0.811887241
Social Conservative + Econ Liberal,1750009332_684f05f47781e6.73457069,Democrat,Hispanic,Non-White Non-College,F,16.847826087,29,61.170212766,0.506232494
Social Conservative + Econ Liberal,1750009311_684f05dfcf2826.84395362,Republican,White College,White College,F,33.695652174,74,64.361702128,0.628876617
Social Conservative + Econ Liberal,1750009207_684f05770d3ae6.94598663,Democrat,Hispanic,Non-White Non-College,M,29.891304348,36,54.787234043,0.327758343
Social Conservative + Econ Liberal,1750008925_684f045dba0377.81682097,Democrat,White College,White College,F,44.565217391,70,76.595744681,0.931934667
Social Conservative + Econ Liberal,1750008572_684f02fc527d67.82942683,Democrat,White Non-College,White Non-College,M,48.913043478,64,54.787234043,0.543592742
Social Conservative + Econ Liberal,1750008399_684f024f55b599.50810622,Republican,White Non-College,White Non-College,F,25,70,61.170212766,0.291438696
Social Conservative + Econ Liberal,1750008201_684f0189c5ee24.74507510,Democrat,Native and Other,Non-White College,,24.456521739,57,58.510638298,0.749244481
Social Conservative + Econ Liberal,1750008036_684f00e4267ec8.25732863,Democrat,Black,Non-White Non-College,F,46.195652174,43,53.191489362,0.999291177
Social Conservative + Econ Liberal,1750007603_684eff33d21ad5.08110862,Republican,Hispanic,Non-White Non-College,M,16.304347826,46,51.063829787,1.176143095
Social Conservative + Econ Liberal,1750007397_684efe652edb45.22358237,Democrat,White College,White College,M,39.673913043,77,91.489361702,0.613933887
Social Conservative + Econ Liberal,1750007256_684efdd8844bb5.03753389,Republican,White Non-College,White Non-College,F,47.282608696,47,74.468085106,1.087584088
Social Conservative + Econ Liberal,1750007006_684efcded2eda1.63156511,Democrat,Black,Non-White Non-College,M,21.195652174,59,52.127659574,0.463388206
Social Conservative + Econ Liberal,1750006980_684efcc46abfe8.86080328,Republican,White Non-College,White Non-College,M,27.173913043,51,80.319148936,0.283658581
Social Conservative + Econ Liberal,1750006311_684efa27169499.82831288,Democrat,White Non-College,White Non-College,F,39.673913043,73,57.978723404,0.408179093
Social Conservative + Econ Liberal,1750006094_684ef94e7c13e1.35171503,Democrat,White College,White College,M,32.608695652,58,68.617021277,1.913241051
Social Conservative + Econ Liberal,1750005918_684ef89ecb56f5.98480207,Republican,Black,Non-White Non-College,M,33.695652174,48,52.659574468,0.680046347
Social Conservative + Econ Liberal,1750005725_684ef7ddccdb23.17446226,Republican,White Non-College,White Non-College,M,39.673913043,53,85.638297872,0.840181976
Social Conservative + Econ Liberal,1750005702_684ef7c62f54a5.31971598,Republican,White Non-College,White Non-College,F,25,54,78.191489362,0.724824429
Social Conservative + Econ Liberal,1750005693_684ef7bdb6ffc8.87446750,Republican,White Non-College,White Non-College,F,32.608695652,70,93.617021277,0.584121413
Social Conservative + Econ Liberal,1750005636_684ef784a88c82.14587292,Republican,White College,White College,F,27.173913043,61,63.829787234,2.077673611
Social Conservative + Econ Liberal,1750005485_684ef6edcd5da0.43462130,Democrat,Hispanic,Non-White Non-College,F,30.434782609,59,54.787234043,0.258789343
Social Conservative + Econ Liberal,1750005344_684ef660e1d637.42763010,Republican,White Non-College,White Non-College,F,49.543478261,76,68.617021277,0.940407299
Social Conservative + Econ Liberal,1750004663_684ef3b7a48726.39347096,Republican,White Non-College,White Non-College,F,27.717391304,64,54.787234043,0.292345980
Social Conservative + Econ Liberal,1750003449_684eeef9f27ba5.18748379,Republican,White Non-College,White Non-College,F,42.391304348,74,75,0.372362632
Social Conservative + Econ Liberal,1750003418_684eeedaa8d0f6.03644617,Republican,White Non-College,White Non-College,F,35.869565217,40,54.787234043,2.946540908
Social Conservative + Econ Liberal,1750003242_684eee2adf2072.46111817,Republican,White College,White College,F,37.5,64,66.489361702,1.990546731
Social Conservative + Econ Liberal,1750002696_684eec08a3c318.58550090,Republican,White Non-College,White Non-College,F,20.652173913,66,53.191489362,0.550902235
Social Conservative + Econ Liberal,1750002621_684eebbd58d815.82452923,Republican,White Non-College,White Non-College,M,42.934782609,68,85.106382979,0.756173413
Social Conservative + Econ Liberal,1750002499_684eeb437e2754.59939436,Republican,Hispanic,Non-White Non-College,F,34.782608696,59,69.680851064,0.470572098
Social Conservative + Econ Liberal,1750002061_684ee98df32e84.92031674,Republican,White Non-College,White Non-College,F,17.391304348,45,55.319148936,2.724436255
Social Conservative + Econ Liberal,1750001875_684ee8d38d6c18.92611040,Republican,White Non-College,White Non-College,M,32.065217391,44,76.063829787,0.871334848
Social Conservative + Econ Liberal,1750001764_684ee864c3a7b1.19005957,Independent,White Non-College,White Non-College,M,26.086956522,53,51,0.651916034
Social Conservative + Econ Liberal,1750001681_684ee8118a7565.52800950,Republican,White College,White College,M,33.695652174,76,59.574468085,0.289959750
Social Conservative + Econ Liberal,1750001537_684ee781daa705.14612820,Democrat,White Non-College,White Non-College,F,35.326086957,67,53.723404255,0.817736657
Social Conservative + Econ Liberal,1750001475_684ee7436a7d88.63299502,Republican,White Non-College,White Non-College,F,25,53,77.659574468,0.624066875
Social Conservative + Econ Liberal,1750001450_684ee72a8d4312.27604031,Republican,White Non-College,White Non-College,F,48.913043478,54,53.723404255,0.981513735
Social Conservative + Econ Liberal,1750001361_684ee6d1aeaba0.19451593,Republican,Hispanic,Non-White Non-College,M,30.434782609,61,57.446808511,1.467222829
Social Conservative + Econ Liberal,1750001142_684ee5f620eb59.93001753,Democrat,White Non-College,White Non-College,F,18.478260870,56,63.297872340,0.210080605
Social Conservative + Econ Liberal,1750000896_684ee500c41fe6.81260666,Democrat,Hispanic,Non-White College,F,9.239130435,40,58.510638298,1.167390765
Social Conservative + Econ Liberal,1750000782_684ee48eadbe65.35602613,Independent,White Non-College,White Non-College,F,27.717391304,60,55.319148936,1.942643323
Social Conservative + Econ Liberal,1750000733_684ee45d0e7a31.05811792,Republican,White Non-College,White Non-College,M,30.434782609,70,51.531914894,0.745400582
Social Conservative + Econ Liberal,1750000371_684ee2f3af9412.94270585,Republican,White Non-College,White Non-College,F,32.608695652,36,87.234042553,1.083997748
Social Conservative + Econ Liberal,1750000294_684ee2a65de6d1.55687365,Republican,White Non-College,White Non-College,F,34.782608696,60,68.085106383,0.827914887
Social Conservative + Econ Liberal,1750000197_684ee2458f7798.35159968,Independent,White Non-College,White Non-College,F,24.456521739,75,72.872340426,0.839542968
Social Conservative + Econ Liberal,1749999963_684ee15b4e4d89.92936531,Republican,Hispanic,Non-White Non-College,F,31.521739130,44,54.255319149,2.979116806
Social Conservative + Econ Liberal,1749999840_684ee0e0a057c3.04923912,Republican,White Non-College,White Non-College,F,27.717391304,73,74.468085106,1.345261225
Social Conservative + Econ Liberal,1749999558_684edfc692d779.00756848,Democrat,White Non-College,White Non-College,F,32.608695652,50,75.531914894,0.596383997
Social Conservative + Econ Liberal,1749998835_684edcf32e5c87.61200144,Democrat,Hispanic,Non-White Non-College,M,38.043478261,68,52.659574468,0.338944483
Social Conservative + Econ Liberal,1749997799_684ed8e7951e96.77470052,Republican,White Non-College,White Non-College,M,42.391304348,55,77.127659574,0.483031763
Social Conservative + Econ Liberal,1749995033_684ece190673c7.96868422,Democrat,Black,Non-White Non-College,F,19.565217391,81,55.851063830,0.753119422
Social Conservative + Econ Liberal,1749990509_684ebc6d2a55e7.33508684,Republican,White College,White College,F,44.565217391,68,57.446808511,0.475156169
Social Conservative + Econ Liberal,1749988126_684eb31ec9da99.34749222,Republican,White College,White College,M,34.782608696,30,57.978723404,1.208879008
Social Conservative + Econ Liberal,1749985364_684ea85462c8a3.40468792,Democrat,White College,White College,F,33.695652174,44,51.531914894,1.018224214
Social Conservative + Econ Liberal,1749983155_684e9fb328f6d2.40015669,Republican,White College,White College,M,43.478260870,48,70.212765957,0.803688543
Social Conservative + Econ Liberal,1749982816_684e9e60c5eb83.80572035,Republican,White Non-College,White Non-College,F,45.652173913,48,63.829787234,1.005860611
Social Conservative + Econ Liberal,1749970907_684e6fdb5a0d77.77596147,Democrat,White Non-College,White Non-College,F,18.478260870,87,52.659574468,0.357426345
Social Conservative + Econ Liberal,1749964037_684e550584d3b8.25353971,Republican,White College,White College,M,41.304347826,44,61.702127660,3.104294348
Social Conservative + Econ Liberal,1749959377_684e42d19ec794.02163004,Democrat,Hispanic,Non-White Non-College,F,27.173913043,57,52.659574468,0.555236538
Social Conservative + Econ Liberal,1749957871_684e3cefc02415.07388614,Independent,White College,White College,M,48.913043478,66,78.191489362,0.539733000
Social Conservative + Econ Liberal,1749951666_684e24b20e5625.67657321,Democrat,White Non-College,White Non-College,F,39.130434783,80,59.574468085,0.538308813
Social Conservative + Econ Liberal,1749948016_684e16707530b7.70163832,Republican,White College,White College,M,47.826086957,42,64.893617021,1.343871719
Social Conservative + Econ Liberal,1749947974_684e16468ae2e9.65034989,Democrat,White College,White College,M,31.521739130,83,65.957446809,1.106268938
Social Conservative + Econ Liberal,1749947463_684e1447ee4bb6.44555082,Democrat,White Non-College,White Non-College,M,39.130434783,48,91.489361702,0.836383685
Social Conservative + Econ Liberal,1749946081_684e0ee14dfa94.69425865,Republican,White College,White College,F,29.891304348,45,61.702127660,0.806623124
Social Conservative + Econ Liberal,1749945707_684e0d6b24d373.23573320,Republican,White College,White College,M,21.195652174,74,62.765957447,1.342596166
Social Conservative + Econ Liberal,1749940232_684df80896a759.19713778,Republican,White College,White College,M,47.826086957,66,60.638297872,0.867833519
Social Conservative + Econ Liberal,1749937739_684dee4b59a406.19150272,Republican,White Non-College,White Non-College,F,39.673913043,50,58.510638298,0.878563164
Social Conservative + Econ Liberal,1749936835_684deac3c3d459.39811092,Democrat,White College,White College,M,30.978260870,51,53.723404255,1.746868000
Social Conservative + Econ Liberal,1749930770_684dd3122ea2f3.08937497,Republican,White Non-College,White Non-College,F,49.456521739,30,58.510638298,0.633095793
Social Conservative + Econ Liberal,1749930483_684dd1f33d8ea2.80364167,Democrat,White College,White College,M,32.608695652,40,65.957446809,1.430767783
Social Conservative + Econ Liberal,1749930298_684dd13a52a679.49579483,Democrat,Asian,Non-White College,M,24.456521739,77,59.042553191,2.088341038
